"","LL","PS","HL","SSS","PR","SR","Yield"
"1",1,1,1,1,75952.7229644187,55790.5500390137,57.8916619422384
"2",66666667.5555556,1,1,1,388274866.830142,259097426.60494,52094.1986232477
"3",133333334.111111,1,1,1,767659809.839533,511852305.862726,103061.499935747
"4",200000000.666667,1,1,1,1138815096.37548,758736444.553788,153032.542803873
"5",266666667.222222,1,1,1,1502273258.13636,1000129000.42733,202073.603781921
"6",333333333.777778,1,1,1,1858520395.93916,1236376082.18367,250245.157774539
"7",400000000.333333,1,1,1,2208000898.50191,1467794108.16901,297602.467879219
"8",466666666.888889,1,1,1,2551121612.76317,1694672774.69028,344196.106670674
"9",533333333.444444,1,1,1,2888255537.85304,1917277685.279,390072.417941414
"10",6e+08,1,1,1,3219745104.2378,2135852684.69388,435273.926588764
"11",1,5000.88888888889,1,1,356748895.409076,260412357.415597,275201.51340481
"12",66666667.5555556,5000.88888888889,1,1,736894065.418529,513614100.662582,325996.26014429
"13",133333334.111111,5000.88888888889,1,1,1108549822.3824,760764344.693194,375773.233297571
"14",200000000.666667,5000.88888888889,1,1,1472273486.99132,1002259627.62386,424601.122427892
"15",266666667.222222,5000.88888888889,1,1,1828573240.51091,1238461532.16153,472542.532642236
"16",333333333.777778,5000.88888888889,1,1,2177913179.99793,1469700281.63512,519654.610971267
"17",400000000.333333,5000.88888888889,1,1,2520717778.24885,1696277912.57953,565989.598980541
"18",466666666.888889,5000.88888888889,1,1,2857375827.80071,1918471080.29711,611595.321443145
"19",533333333.444444,5000.88888888889,1,1,3188243936.4974,2136533545.42274,656515.61944064
"20",6e+08,5000.88888888889,1,1,3513649632.26625,2350698382.4985,700790.735036238
"21",1,10000.7777777778,1,1,674860970.023162,490340223.734093,526751.493563884
"22",66666667.5555556,10000.7777777778,1,1,1047169633.2568,737863168.667472,576348.347168702
"23",133333334.111111,10000.7777777778,1,1,1411299075.26482,979559303.741625,624975.977739663
"24",200000000.666667,10000.7777777778,1,1,1767780953.22961,1215806660.67999,672699.247706879
"25",266666667.222222,10000.7777777778,1,1,2117100286.82416,1446950115.85252,719577.297731309
"26",333333333.777778,10000.7777777778,1,1,2459700233.85788,1673304785.43263,765664.133250716
"27",400000000.333333,10000.7777777778,1,1,2795986306.25894,1895159022.66491,811009.142268207
"28",466666666.888889,10000.7777777778,1,1,3126330100.60473,2112777070.00419,855657.5535014
"29",533333333.444444,10000.7777777778,1,1,3451072606.41995,2326401411.07183,899650.842659695
"30",6e+08,10000.7777777778,1,1,3770527146.26519,2536254860.83649,943027.093487109
"31",1,15000.6666666667,1,1,958604240.078749,693138787.589043,757310.526693277
"32",66666667.5555556,15000.6666666667,1,1,1323285443.78817,935137823.608203,805751.158441597
"33",133333334.111111,15000.6666666667,1,1,1680083932.20147,1171524678.09897,853268.580750543
"34",200000000.666667,15000.6666666667,1,1,2029506960.72174,1402659797.36597,899924.046037891
"35",266666667.222222,15000.6666666667,1,1,2372017515.52889,1628872175.24775,945773.425605335
"36",333333333.777778,15000.6666666667,1,1,2708038825.8586,1850462559.15323,990867.758948672
"37",400000000.333333,15000.6666666667,1,1,3037958349.9897,2067706282.15069,1035253.73897135
"38",466666666.888889,15000.6666666667,1,1,3362131304.38781,2280855770.45482,1078974.14156057
"39",533333333.444444,15000.6666666667,1,1,3680883795.21693,2490142768.38394,1122068.20673813
"40",6e+08,15000.6666666667,1,1,3994515602.8579,2695780316.76841,1164571.97755414
"41",1,20000.5555555556,1,1,1211632124.24792,871683851.327703,969145.397145613
"42",66666667.5555556,20000.5555555556,1,1,1568887081.91141,1108307936.97994,1016469.58056977
"43",133333334.111111,20000.5555555556,1,1,1918542790.8679,1339524890.11797,1062914.16779574
"44",200000000.666667,20000.5555555556,1,1,2261083301.49624,1565678444.6337,1108537.00576267
"45",266666667.222222,20000.5555555556,1,1,2596950637.09382,1787082493.16954,1153390.88028974
"46",333333333.777778,20000.5555555556,1,1,2926549058.00573,2004024115.06626,1197524.0305737
"47",400000000.333333,20000.5555555556,1,1,3250248830.74887,2216766252.79601,1240980.60392538
"48",466666666.888889,20000.5555555556,1,1,3568389567.13547,2425550083.0424,1283801.05859454
"49",533333333.444444,20000.5555555556,1,1,3881283188.86555,2630597121.81823,1326022.52138108
"51",1,25000.4444444444,1,1,1437138103.58651,1028489499.71208,1164236.13864185
"52",66666667.5555556,25000.4444444444,1,1,1787160534.40919,1259881923.85505,1210481.84257415
"53",133333334.111111,25000.4444444444,1,1,2129854758.29664,1486063142.74819,1255889.29230381
"54",200000000.666667,25000.4444444444,1,1,2465682755.89416,1707361005.52685,1300513.12198836
"55",266666667.222222,25000.4444444444,1,1,2795066603.80639,1924075044.7932,1344403.20529251
"56",333333333.777778,25000.4444444444,1,1,3118392504.87059,2136479336.83193,1387605.1373333
"57",400000000.333333,25000.4444444444,1,1,3436014352.76268,2344825031.33446,1430160.660898
"58",466666666.888889,25000.4444444444,1,1,3748256891.79509,2549342593.82488,1472108.04422002
"59",533333333.444444,25000.4444444444,1,1,4055418523.88107,2750243797.6755,1513482.41653391
"61",1,30000.3333333333,1,1,1637921515.1868,1165759826.5613,1344317.12438115
"62",66666667.5555556,30000.3333333333,1,1,1980897967.64718,1392058457.10778,1389520.60124991
"63",133333334.111111,30000.3333333333,1,1,2316805414.28977,1613333122.61275,1433925.01670085
"64",200000000.666667,30000.3333333333,1,1,2646084843.16211,1829896572.2288,1477581.97367414
"65",266666667.222222,30000.3333333333,1,1,2969139348.84081,2042034681.65517,1520538.59708024
"66",333333333.777778,30000.3333333333,1,1,3286337942.27841,2250009155.34597,1562837.98530113
"67",400000000.333333,30000.3333333333,1,1,3598018922.49972,2454059917.93358,1604519.60971861
"68",466666666.888889,30000.3333333333,1,1,3904492867.13801,2654407235.29196,1645619.66903169
"69",533333333.444444,30000.3333333333,1,1,4206045290.52123,2851253599.79125,1686171.40414292
"71",1,35000.2222222222,1,1,1816442791.17494,1285432364.20925,1510911.5619391
"72",66666667.5555556,35000.2222222222,1,1,2152552951.41615,1506769885.08134,1555107.4315675
"73",133333334.111111,35000.2222222222,1,1,2481842021.681,1723262407.08411,1598541.39871347
"74",200000000.666667,35000.2222222222,1,1,2804731019.52173,1935208323.60475,1641262.20619192
"75",266666667.222222,35000.2222222222,1,1,3121604973.35989,2142880520.59699,1683314.38421417
"76",333333333.777778,35000.2222222222,1,1,3432816524.52694,2346528929.91477,1724738.67341327
"77",400000000.333333,35000.2222222222,1,1,3738689116.96872,2546382790.33829,1765572.39939033
"78",466666666.888889,35000.2222222222,1,1,4039519827.99249,2742652654.13356,1805849.80506019
"79",533333333.444444,35000.2222222222,1,1,4335581885.71705,2935532171.51545,1845602.34616662
"81",1,40000.1111111111,1,1,1974870026.1898,1389214696.0973,1665360.56984351
"82",66666667.5555556,40000.1111111111,1,1,2304287012.01141,1605718832.98351,1708581.89898973
"83",133333334.111111,40000.1111111111,1,1,2627120066.50449,1817549055.61539,1751076.559803
"84",200000000.666667,40000.1111111111,1,1,2943771206.74008,2024990107.46885,1792890.59621248
"85",266666667.222222,40000.1111111111,1,1,3254608264.64662,2228302517.85298,1834066.08898804
"86",333333333.777778,40000.1111111111,1,1,3559968293.10655,2427725014.94893,1874641.55212604
"87",400000000.333333,40000.1111111111,1,1,3860160583.93923,2623476663.86862,1914652.28400916
"88",466666666.888889,40000.1111111111,1,1,4155469347.77663,2815758765.16401,1954130.67916986
"101",1,1,2111112,1,370803148.398933,355436906.376649,69705.3914322466
"102",66666667.5555556,1,2111112,1,750193873.051918,607142509.911284,120661.557693843
"103",133333334.111111,1,2111112,1,1121382575.31139,853020215.098734,170625.038023875
"104",200000000.666667,1,2111112,1,1484895687.68743,1093444241.99946,219661.342182713
"105",266666667.222222,1,2111112,1,1841214277.69123,1328756537.05793,267830.311709536
"106",333333333.777778,1,2111112,1,2190778595.67882,1559270009.6363,315186.688390216
"107",400000000.333333,1,2111112,1,2533992101.78393,1785271397.79312,361780.617611329
"108",466666666.888889,1,2111112,1,2871225039.41454,2007023811.33274,407658.0950346
"109",533333333.444444,1,2111112,1,3202817613.02358,2224768993.20223,452861.363805587
"110",6e+08,1,2111112,1,3529082819.66006,2438729334.4722,497429.268484878
"111",1,5000.88888888889,2111112,1,720146910.074012,608783759.017646,343665.095437946
"112",66666667.5555556,5000.88888888889,2111112,1,1091796967.40417,854901149.609842,393433.21068185
"113",133333334.111111,5000.88888888889,2111112,1,1455541345.12552,1095404868.17161,442255.3653741
"114",200000000.666667,5000.88888888889,2111112,1,1811882495.04708,1330651848.29272,490193.471234632
"115",266666667.222222,5000.88888888889,2111112,1,2161279783.44315,1560968390.26783,537304.104046061
"116",333333333.777778,5000.88888888889,2111112,1,2504153791.24634,1786653219.62444,583639.036638343
"117",400000000.333333,5000.88888888889,2111112,1,2840890123.95822,2007980196.89167,629245.711095558
"118",466666666.888889,5000.88888888889,2111112,1,3171842794.48506,2225200723.57348,674167.658020684
"119",533333333.444444,5000.88888888889,2111112,1,3497337233.00294,2438545882.81469,718444.869565739
"121",1,10000.7777777778,2111112,1,1031109597.01659,831867954.353718,594073.613348473
"122",66666667.5555556,10000.7777777778,2111112,1,1395222161.7495,1072547056.35837,642694.374235113
"123",133333334.111111,10000.7777777778,2111112,1,1751712451.3123,1307817213.96541,690413.490087265
"124",200000000.666667,10000.7777777778,2111112,1,2101060101.02515,1538018923.88615,737289.475585608
"125",266666667.222222,10000.7777777778,2111112,1,2443703820.24379,1763463602.66625,783375.821928579
"126",333333333.777778,10000.7777777778,2111112,1,2780045459.00873,1984436477.44355,828721.496603283
"127",400000000.333333,10000.7777777778,2111112,1,3110453613.15562,2201199148.57721,873371.386417423
"128",466666666.888889,10000.7777777778,2111112,1,3435266827.10942,2413991866.25394,917366.691073473
"129",533333333.444444,10000.7777777778,2111112,1,3754796445.09624,2623035557.14165,960745.273522623
"131",1,15000.6666666667,2111112,1,1307875770.95234,1027982145.12634,823531.469050696
"132",66666667.5555556,15000.6666666667,2111112,1,1664646508.23535,1263367215.19511,871043.744946592
"133",133333334.111111,15000.6666666667,2111112,1,2014066040.52061,1493539019.47039,917696.409393804
"134",200000000.666667,15000.6666666667,2111112,1,2356592291.78212,1718822423.77726,963544.769578764
"135",266666667.222222,15000.6666666667,2111112,1,2692644306.30587,1939514684.5611,1008639.40304764
"136",333333333.777778,15000.6666666667,2111112,1,3022606095.05938,2155888181.49392,1053026.62638312
"137",400000000.333333,15000.6666666667,2111112,1,3346830047.50257,2368192841.3061,1096748.91090503
"138",466666666.888889,15000.6666666667,2111112,1,3665639964.34066,2576658292.28113,1139845.25216196
"139",533333333.444444,15000.6666666667,2111112,1,3979333758.80202,2781495783.22484,1182351.49901531
"141",1,20000.5555555556,2111112,1,1554091677.5215,1199995676.02455,1034303.38835193
"142",66666667.5555556,20000.5555555556,2111112,1,1903709064.26332,1430225549.77291,1080744.3096642
"143",133333334.111111,20000.5555555556,2111112,1,2246234556.48691,1655429214.73111,1126365.4922043
"144",200000000.666667,20000.5555555556,2111112,1,2582105416.02969,1875916670.5695,1171219.2144236
"145",266666667.222222,20000.5555555556,2111112,1,2911721964.24189,2091971700.58601,1215353.30150068
"146",333333333.777778,20000.5555555556,2111112,1,3235451220.55069,2303854455.20174,1258811.56490398
"147",400000000.333333,20000.5555555556,2111112,1,3553630131.79602,2511803744.84235,1301634.19248468
"148",466666666.888889,20000.5555555556,2111112,1,3866568444.36156,2716039079.15151,1343858.09539006
