,LL,PS,HL,SSS,PR,SR,Yield
1,1,1,1,1,75952.72296,55790.55004,57.89166194
2,31578948.32,1,1,1,185097641.2,123571369.8,24844.81782
3,63157895.63,1,1,1,368068443.7,245624205.8,49382.76414
4,94736842.95,1,1,1,549055191.5,366261879.9,73680.05333
5,126315790.3,1,1,1,728121791.1,485529891.3,97744.64255
6,157894737.6,1,1,1,905329374.3,603471764.4,121584.1423
7,189473684.9,1,1,1,1080736441,720129150.1,145205.8341
8,221052632.2,1,1,1,1254398990,835541920,168616.6871
9,252631579.5,1,1,1,1426370649,949748256.2,191823.3741
10,284210526.8,1,1,1,1596702790,1062784736,214832.2858
11,315789474.2,1,1,1,1765444638,1174686409,237649.5452
12,347368421.5,1,1,1,1932643383,1285486876,260281.0205
13,378947368.8,1,1,1,2098344273,1395218356,282732.3376
14,410526316.1,1,1,1,2262590711,1503911754,305008.8917
15,442105263.4,1,1,1,2425424343,1611596723,327115.8584
16,473684210.7,1,1,1,2586885139,1718301726,349058.2042
17,505263158.1,1,1,1,2747011476,1824054090,370840.6964
18,536842105.4,1,1,1,2905840209,1928880060,392467.9122
19,568421052.7,1,1,1,3063406744,2032804849,413944.2478
20,6.00E+08,1,1,1,3219745104,2135852685,435273.9266
21,1,2369.368421,1,1,174123034.2,127403854.6,133510.2257
22,31578948.32,2369.368421,1,1,357304299.9,249584701.5,158012.7345
23,63157895.63,2369.368421,1,1,538471221.3,370329291.9,182272.0316
24,94736842.95,2369.368421,1,1,717689135.8,489684129,206296.215
25,126315790.3,2369.368421,1,1,895020528.3,607693686.2,230093.0281
26,157894737.6,2369.368421,1,1,1070525178,724400511.5,253669.8774
27,189473684.9,2369.368421,1,1,1244260295,839845325.7,277033.8499
28,221052632.2,2369.368421,1,1,1416280653,954067114.3,300191.7294
29,252631579.5,2369.368421,1,1,1586638708,1067103215,323150.0115
30,284210526.8,2369.368421,1,1,1755384717,1178989400,345914.918
31,315789474.2,2369.368421,1,1,1922566844,1289759952,368492.4104
32,347368421.5,2369.368421,1,1,2088231261,1399447737,390888.2027
33,378947368.8,2369.368421,1,1,2252422251,1508084275,413107.7732
34,410526316.1,2369.368421,1,1,2415182291,1615699804,435156.3763
35,442105263.4,2369.368421,1,1,2576552143,1722323339,457039.0527
36,473684210.7,2369.368421,1,1,2736570937,1827982734,478760.64
37,505263158.1,2369.368421,1,1,2895276240,1932704733,500325.7819
38,536842105.4,2369.368421,1,1,3052704140,2036515024,521738.9374
39,568421052.7,2369.368421,1,1,3208889305,2139438288,543004.3897
40,6.00E+08,2369.368421,1,1,3363865053,2241498243,564126.2535
41,1,4737.736842,1,1,338977318.5,247498945.2,261332.9046
42,31578948.32,4737.736842,1,1,520342154.5,368362857.4,285555.8334
43,63157895.63,4737.736842,1,1,699728407.3,487816425.3,309541.1727
44,94736842.95,4737.736842,1,1,877199955.6,605905100.2,333296.8023
45,126315790.3,4737.736842,1,1,1052817897,722672354.3,356830.2575
46,157894737.6,4737.736842,1,1,1226640688,838159782.7,380148.7464
47,189473684.9,4737.736842,1,1,1398724284,952407197.9,403259.167
48,221052632.2,4737.736842,1,1,1569122257,1065452721,426168.1225
49,252631579.5,4737.736842,1,1,1737885922,1177332865,448881.9362
50,284210526.8,4737.736842,1,1,1905064447,1288082615,471406.6655
51,315789474.2,4737.736842,1,1,2070704955,1397735504,493748.1148
52,347368421.5,4737.736842,1,1,2234852631,1506323684,515911.8479
53,378947368.8,4737.736842,1,1,2397550808,1613877991,537903.1996
54,410526316.1,4737.736842,1,1,2558841061,1720428010,559727.2872
55,442105263.4,4737.736842,1,1,2718763291,1826002133,581389.0201
56,473684210.7,4737.736842,1,1,2877355801,1930627619,602893.1102
57,505263158.1,4737.736842,1,1,3034655373,2034330642,624244.0811
58,536842105.4,4737.736842,1,1,3190697339,2137136347,645446.2766
59,568421052.7,4737.736842,1,1,3345515649,2239068894,666503.8697
60,6.00E+08,4737.736842,1,1,3499142932,2340151503,687420.8695
61,1,7106.105263,1,1,495135431,360731901.1,383834.4112
62,31578948.32,7106.105263,1,1,674707393.8,480296345,407782.4905
63,63157895.63,7106.105263,1,1,852335771.1,598475795.8,431498.4607
64,94736842.95,7106.105263,1,1,1028083018,715314678.2,454989.9892
65,126315790.3,7106.105263,1,1,1202008878,830855487.3,478264.409
66,157894737.6,7106.105263,1,1,1374170518,945138887.8,501328.7353
67,189473684.9,7106.105263,1,1,1544622662,1058203806,524189.6819
68,221052632.2,7106.105263,1,1,1713417715,1170087519,546853.6766
69,252631579.5,7106.105263,1,1,1880605875,1280825733,569326.8751
70,284210526.8,7106.105263,1,1,2046235246,1390452668,591615.1746
71,315789474.2,7106.105263,1,1,2210351936,1499001123,613724.2266
72,347368421.5,7106.105263,1,1,2373000161,1606502551,635659.4488
73,378947368.8,7106.105263,1,1,2534222331,1712987120,657426.0366
74,410526316.1,7106.105263,1,1,2694059139,1818483779,679028.9733
75,442105263.4,7106.105263,1,1,2852549640,1923020312,700473.0408
76,473684210.7,7106.105263,1,1,3009731334,2026623395,721762.8287
77,505263158.1,7106.105263,1,1,3165640232,2129318646,742902.7434
78,536842105.4,7106.105263,1,1,3320310930,2231130677,763897.0168
79,568421052.7,7106.105263,1,1,3473776674,2332083141,784749.7143
80,6.00E+08,7106.105263,1,1,3626069420,2432198772,805464.7423
81,1,9474.473684,1,1,643061969.1,467468374.7,501303.2501
82,31578948.32,9474.473684,1,1,820864187.1,585750492.8,524981.1064
83,63157895.63,9474.473684,1,1,996757071.9,702672420.8,548432.1956
84,94736842.95,9474.473684,1,1,1170801689,818277581.7,571663.9789
85,126315790.3,9474.473684,1,1,1343056459,932607516.9,594683.5922
86,157894737.6,9474.473684,1,1,1513577290,1045701983,617497.8632
87,189473684.9,9474.473684,1,1,1682417706,1157599041,640113.3266
88,221052632.2,9474.473684,1,1,1849628968,1268335143,662536.2394
89,252631579.5,9474.473684,1,1,2015260185,1377945211,684772.5942
90,284210526.8,9474.473684,1,1,2179358422,1486462713,706828.1324
91,315789474.2,9474.473684,1,1,2341968795,1593919734,728708.3567
92,347368421.5,9474.473684,1,1,2503134575,1700347044,750418.5428
93,378947368.8,9474.473684,1,1,2662897268,1805774160,771963.7498
94,410526316.1,9474.473684,1,1,2821296703,1910229407,793348.8313
95,442105263.4,9474.473684,1,1,2978371114,2013739974,814578.4445
96,473684210.7,9474.473684,1,1,3134157211,2116331969,835657.0601
97,505263158.1,9474.473684,1,1,3288690254,2218030469,856588.9705
98,536842105.4,9474.473684,1,1,3442004120,2318859564,877378.2986
99,568421052.7,9474.473684,1,1,3594131364,2418842410,898029.005
100,6.00E+08,9474.473684,1,1,3745103285,2518001264,918544.8961
101,1,11842.84211,1,1,783191879.4,568050701.7,614009.4324
102,31578948.32,11842.84211,1,1,959247062.2,685067319.2,637421.5904
103,63157895.63,11842.84211,1,1,1133426436,800748014.4,660612.189
104,94736842.95,11842.84211,1,1,1305789709,915135232.3,683588.4882
105,126315790.3,11842.84211,1,1,1476394011,1028269584,706357.4326
106,157894737.6,11842.84211,1,1,1645294019,1140189939,728925.6674
107,189473684.9,11842.84211,1,1,1812542087,1250933514,751299.5532
108,221052632.2,11842.84211,1,1,1978188360,1360535956,773485.1806
109,252631579.5,11842.84211,1,1,2142280881,1469031419,795488.3835
110,284210526.8,11842.84211,1,1,2304865699,1576452640,817314.752
111,315789474.2,11842.84211,1,1,2465986965,1682831004,838969.6438
112,347368421.5,11842.84211,1,1,2625687023,1788196615,860458.1961
113,378947368.8,11842.84211,1,1,2784006496,1892578354,881785.3358
114,410526316.1,11842.84211,1,1,2940984372,1996003936,902955.7899
115,442105263.4,11842.84211,1,1,3096658078,2098499972,923974.0945
